title,directors,adaptors,starring,genre,country,release_date,runtime,rate
三生三世十里桃花,赵小丁/安东尼·拉默里纳拉,李晗/刘晗/麦灵/张亚亮/唐七,刘亦菲/杨洋/罗晋/严屹宽/李纯/顾璇/陈佩斯/彭子苏/张贺茗/王羽铮/塔拉,爱情/奇幻, 中国大陆,2017-08-03(中国大陆),109分钟,4.1
鲛珠传,杨磊,张炭/徐照青/杨磊,王大陆/张天爱/任达华/盛冠森/王迅/赵健/刘俊孝/释彦能/胡兵/何穗/蒋璐霞/杜奕衡/周一围,喜剧/动作/爱情/奇幻, 中国大陆 / 香港,2017-08-11(中国大陆),108分钟,4.8
星游记之风暴法米拉,胡一泊,刘磊,陶典/小连杀/山新/宝木中阳/边江/图特哈蒙/曹云图/笑谈/杨天翔/郭盛/阎萌萌/幽舞越山/C小调/皇贞季/藤新/邢凯新/叮当/姜广涛,动作/动画/奇幻/冒险, 中国大陆,2017-08-11(中国大陆),69分钟,7.6
赛尔号大电影6：圣者无敌,王章俊,王章俊/邓磊,罗玉婷/翟巍/王晓彤/孙晔,喜剧/动画/儿童/奇幻/冒险, 中国大陆,2017-08-18(中国大陆),90分钟,4.8
小戏骨：放开那三国,潘礼平/邹江/尹俊欢,邢育森/高翔,陶奕希/李俊豪/葛奕德/赵晨翔/陈荣达/罗自豪/陶冰蓝/周冉/黎哲彬/祁晟原/段智文/周柯伊/赵士添,剧情/儿童/历史/古装, 中国大陆,2017-08-28(中国大陆),104分钟,8.5
海角有个五店市,张柏瑞,李小莹/张柏瑞/贾小静,王德顺/李纯/班杰/胡小玲,剧情/爱情, 中国大陆,2017-04-07(中国大陆),107分钟,4.4
喜欢你,许宏宇,李媛/许伊萌/蓝白色(原著),金城武/周冬雨/孙艺洲/奚梦瑶/杨祐宁/张国柱/高晓松/林志玲/赵英俊/海佟,喜剧/爱情, 中国大陆,2017-04-27(中国大陆)/2017-04-08(北京电影节),106分钟,6.9
指甲刀人魔,关智耀,陆以心/端端/游凯媛,周冬雨/张孝全/纳豆/林辰唏/蔡洁/盛朗熙/郑伊健/谢依霖/许玮甯,喜剧/爱情, 中国大陆 / 香港,2017-04-14(中国大陆)/2017-04-11(北京电影节),100分钟,4.4
春娇救志明 春嬌救志明,彭浩翔,彭浩翔/尹志文/陆以心,余文乐/杨千嬅/蒋梦婕/曾国祥/邵音音/秦沛/王晓晨/李程彬,剧情/喜剧/爱情, 香港 / 中国大陆,2017-04-28(中国大陆)/2017-04-11(香港电影节)/2017-04-27(香港),121分钟,7.2
失眠,邱礼涛,李敏,黄秋生/诗雅/林家栋/麦子乐/吴俐璇,恐怖, 香港,2017-04-17(香港电影节)/2017-05-18(香港),102分钟,6.0
傲娇与偏见,李海蜀/黄彦威,李海蜀/黄彦威/媚媚猫(原著)/张秀洁/韩瑞/马月红,迪丽热巴/张云龙/高伟光/金晨/马薇薇/范湉湉/披拉·尼迪裴善官/周海媚/樊野/李彧,喜剧/爱情, 中国大陆,2017-04-20(中国大陆),108分钟,5.0
血狼犬,刘建华,刘夏,黄宏/刘向京/赵婷婷/孙涛/王海燕/肥龙/朱琳/秦艺伟/党晨,剧情/动作/冒险, 中国大陆,2017-04-21(中国大陆),95分钟,5.8
神秘家族,朴裕焕,朴裕焕,林依晨/姜武/陈晓/惠英红/蓝正龙/安琥/张岫云/楼学贤/郭耀仁/王道南/马国华/陈万号/张哲豪/林柔君/刘芷凌/杜知晨,剧情/悬疑/犯罪, 中国大陆 / 台湾 / 韩国,2017-04-21(中国大陆),93分钟,5.0
记忆大师,陈正道,任鹏/陈正道,黄渤/段奕宏/徐静蕾/杨子姗/梁杰理/许玮甯/王真儿/焦刚/张念骅/杜函梦/栾元晖/曹英睿,剧情/悬疑/惊悚/犯罪, 中国大陆,2017-04-28(中国大陆)/2017-04-23(北京电影节),119分钟,7.2
拆弹专家,邱礼涛,邱礼涛/李敏,刘德华/姜武/宋佳/吴卓羲/姜皓文/王紫逸/黄日华/石修/廖启智/张竣杰/蔡瀚亿/张继聪/李国麟/骆应钧/尹扬明/卢惠光/何华超,动作/悬疑/犯罪, 中国大陆 / 香港,2017-04-28(中国大陆),120分钟,6.4
同囚,黄国权,黄志邦/黄国权,游学修/关楚耀/赵永洪/赵咏瑶/徐伟栋/乔宝宝/汉洋/郭奕芯/李国麟/谭嘉荃/麦以马/岑珈其,剧情/犯罪, 香港,2017-05-04(香港),100分钟,5.7
麻烦家族,黄磊,山田洋次/黄磊,黄磊/海清/王迅/李立群/孙莉/魏大勋/张伟欣/任容萱/何炅/岳云鹏/孟非/闫妮/英达,剧情/喜剧/家庭, 中国大陆,2017-05-11(中国大陆),103分钟,4.6
毒。诫 毒。誡,刘国昌,陈文强/林惠菊,刘青云/林家栋/古天乐/张晋/江一燕/谭耀文/吴孟达/陈观泰/卢海鹏/楼南光/欧锦棠/林国斌/尹扬明/苗可秀/庄思敏/张建声,剧情/动作/犯罪, 中国大陆 / 香港,2017-05-12(中国大陆),100分钟,4.8
小情书,乔梁,宋丽颖,赵顺然/朱颜曼滋/姜瑞佳/高子沣/杨青/赵健雷/任帅/刘丹/姜宏波/韩昊轩/马祥睿/邓震/伍宇辰柠/赵珍妮/张鑫凯,剧情/爱情, 中国大陆,2017-05-19(中国大陆),100分钟,6.3
不期而遇,陈卓,右耳/陈卓,张雨绮/张亮/王少雍/冷中易,喜剧/爱情, 中国大陆 / 美国,2017-05-19(中国大陆),94分钟,3.9
夏天19岁的肖像,张荣吉,李佳颖/陈立萍/苏照彬/岛田庄司,黄子韬/杨采钰/杜天皓/李梦/张国柱/柯淑勤/朱芷莹/冯淬帆,爱情/悬疑, 中国大陆,2017-05-27(中国大陆),90分钟,4.9
“吃吃”的爱,蔡康永,蔡康永,徐熙娣/林志玲/金世佳/李子峰/陈汉典/范湉湉/傅雷/沈玉琳/梁赫群/赵正平/高山峰/马国贤/利晴天/曾恺玹/陈为民/小钟/谢依霖/仇佩佩/小甜甜/黄腾浩/郭文颐/张立东/杨升达/韩宜邦,喜剧/爱情/奇幻, 中国大陆 / 香港 / 台湾,2017-05-27(中国大陆/台湾),90分钟,5.6
美好的意外,何蔚庭,哈智超/周佳琳,桂纶镁/王景春/欧阳娜娜/王元也/陈坤,喜剧/奇幻, 中国大陆,2017-06-02(中国大陆),105分钟,5.5
忠爱无言,谈宜之,谈宜之,高强/于月仙/李玉峰/二货/储毅/王玉宁,剧情, 中国大陆,2017-06-09(中国大陆),97分钟,7.2
战争机器 War Machine,大卫·米奇欧德,大卫·米奇欧德/迈克尔·黑斯廷斯,布拉德·皮特/安东尼·海斯/约翰·马加罗/安东尼·迈克尔·豪尔/艾莫里·科恩/托弗·戈瑞斯/丹尼尔·贝茨/艾蒙·汉道奇/RJ·赛勒/阿兰·卢克/尼古拉斯·琼斯/威尔·保尔特/勒凯斯·斯坦菲尔德/本·金斯利/梅格·提利/蒂尔达·斯文顿,剧情/喜剧/战争, 美国,2017-05-26(美国),121分钟,6.0
神奇女侠 Wonder Woman,派蒂·杰金斯,艾伦·海因伯格/扎克·施奈德/贾森·福克斯/威廉·马斯顿,盖尔·加朵/克里斯·派恩/康妮·尼尔森/罗宾·怀特/丹尼·赫斯顿/大卫·休里斯/萨伊德·塔格马奥/艾文·布莱纳/尤金·布雷弗·洛克/露茜·戴维斯/埃伦娜·安纳亚/莉莉·阿斯佩尔/艾米丽·凯里/丽莎·洛文·孔斯利/安·奥戈博莫/杜晨·科洛斯,动作/奇幻/冒险, 美国,2017-06-02(中国大陆/美国)/2017-05-30(香港/台湾),141分钟,7.1
内裤队长 Captain Underpants: The First Epic Movie,大卫·索伦,尼古拉斯·斯托勒/戴夫·皮尔奇/大卫·索伦,凯文·哈特/托马斯·米德蒂奇/艾德·赫尔姆斯/尼克·克罗尔/乔丹·皮尔/克里斯汀·沙尔/迪迪·雷斯彻/布莱恩·波塞恩/大卫·索伦/梅尔·罗德里格斯/苏珊·菲泽/琳娜·泽格/蒂凡妮·劳伦·本尼克/詹姆斯·瑞恩/莱斯利·大卫·贝克/舒格·林·彼尔德/莱斯利·尼科尔/克里斯·米勒/可可·索伦,喜剧/动作/动画, 美国,2017-06-02(美国),89分钟,5.4
浮生梦 My Cousin Rachel,罗杰·米歇尔,罗杰·米歇尔/达芙妮·杜穆里埃,山姆·克拉弗林/蕾切尔·薇兹/伊恩·格雷/霍丽迪·格兰杰/波佩·李·弗里尔/安德鲁·诺/安德鲁·哈维尔/薇琪·佩珀代因/凯瑟琳·皮尔斯/路易斯·苏克/哈莉·海因斯/阿提拉·G·凯雷克斯/奥斯汀·泰勒/崔斯特瑞姆·戴维斯/斯图尔特·戴维森/克里斯·加拉鲁斯/鲍比·斯科特·弗里曼/唐·惠斯坦斯/霍莉·苏海尔,剧情/爱情/悬疑, 英国 / 美国,2017-06-09(英国),106分钟,6.2
新木乃伊 The Mummy,艾里克斯·库兹曼,乔·斯派茨/克里斯托弗·麦奎里,汤姆·克鲁斯/罗素·克劳/安娜贝拉·沃丽丝/索菲亚·波多拉/杰克·约翰逊/考特尼·万斯/马尔万·肯扎里/斯蒂芬·汤普森/詹姆斯·阿拉马/马修·威尔卡斯/索姆·卡皮拉/肖恩·卡梅伦·迈克尔/雷兹·肯普顿/尼尔·马斯克尔/哈维尔·博泰特/帕克·索耶,动作/奇幻/冒险, 美国,2017-06-09(中国大陆/美国),110分钟,4.8
神偷奶爸3 Despicable Me 3,凯尔·巴尔达/皮埃尔·科凡/埃里克·吉伦,辛科·保罗/肯·道里欧,史蒂夫·卡瑞尔/克里斯汀·韦格/崔·帕克/米兰达·卡斯格拉夫/达纳·盖尔/内芙·沙雷尔/皮埃尔·科凡/史蒂夫·库根/朱莉·安德鲁斯/珍妮·斯蕾特/迈克尔·贝亚蒂/安迪·尼曼/阿德里安·奇斯卡托/布莱恩·T·德莱尼/肯·道里欧,喜剧/动画/冒险, 美国,2017-07-07(中国大陆)/2017-06-14(安锡动画电影节)/2017-06-30(美国),90分钟,7.0
仓皇一夜 Rough Night,露西亚·安尼洛,露西亚·安尼洛/保罗·当斯,斯嘉丽·约翰逊/吉莉恩·贝尔/佐伊·克罗维兹/伊拉纳·格雷泽/凯特·麦克金农/保罗·当斯/瑞安·库柏/泰·布利尔/黛米·摩尔/恩里克·穆西安诺/迪恩·文特斯/科尔顿·海恩斯/帕特里克·卡莱尔/埃里克·安德烈/博·伯翰,喜剧, 美国,2017-06-16(美国),101分钟,5.5
一锤定音 Shot Caller,里克·罗曼·沃夫,里克·罗曼·沃夫,尼古拉·科斯特-瓦尔道/蕾克·贝尔/乔·博恩瑟/杰弗里·多诺万/欧玛瑞·哈德威克/霍特·麦克卡兰尼/洁西·斯克拉姆/本杰明·布拉特/迈克尔·兰德斯/艾莫里·科恩/伊万·琼斯/胡安·巴勃罗·拉瓦/克里斯·勃朗宁/萨拉·明妮奇/基思·雅各/马特·杰拉德,剧情/惊悚/犯罪, 美国,2017-06-17(洛杉矶电影节)/2017-08-18(美国),121分钟,7.4
死于独特 Murdered for Being Different,保罗·安德鲁·威廉姆斯,尼克·莱瑟,查内尔·克雷斯韦尔/尼克·迈瑞莱格伦/阿比盖尔·劳里/刘易斯·布朗/多米尼克·卡特/阿米莉亚·克拉克/克里斯·乔奇,剧情/犯罪, 英国,2017-06-18(英国网络),61分钟,7.9
变形金刚5：最后的骑士 Transformers: The Last Knight,迈克尔·贝,阿特·马库姆/马特·霍洛维/肯·诺兰/阿齐瓦·高斯曼,马克·沃尔伯格/伊莎贝拉·莫奈/劳拉·哈德克/安东尼·霍普金斯/乔什·杜哈明/彼特·库伦/约翰·古德曼/斯坦利·图齐/桑地亚哥·卡布瑞拉/吉尔·伯明翰/渡边谦/约翰·迪·玛吉欧/弗兰克·维尔克/米彻·佩勒吉,动作/科幻, 美国,2017-06-23(中国大陆)/2017-06-21(美国),149分钟,4.9
绝命时钟2:22 2:22,保罗·柯瑞,托德·斯坦因/内森·帕克,泰莉莎·帕尔墨/米契尔·哈思曼/萨姆·里德/梅芙·德莫迪/约翰·沃特斯/瑞米·海依/西蒙娜·凯塞尔/凯瑞·阿姆斯特朗/凯蒂·麦康奈尔/杰西卡·克拉克/玛丽莎·拉蒙尼卡/理查德·戴维斯/扎拉·迈克尔斯/安吉·特里克/卡玛·莎伦/米切尔·巴特尔,惊悚, 美国 / 澳大利亚,2017-06-30(美国),98分钟,6.0
首杀 First Kill,史蒂芬·C·米勒,尼克·戈登,布鲁斯·威利斯/海登·克里斯滕森/泰·谢尔顿/梅根·伦纳德/格辛·安东尼/威廉·德莫奥/德布·G·格德勒/泰勒·乔恩·奥尔森/谢伊·巴克纳/玛吉·阿维拉/克里斯汀·岱伊,动作/惊悚, 美国,2017-07-21(美国),97分钟,5.2
六天 6 Days,托亚·弗莱瑟,格伦·斯坦德灵,杰米·贝尔/马克·斯特朗/艾比·考尼什/马丁·肖/本·特纳/埃蒙·埃利奥特/艾蒙·汉道奇/安得烈·格兰杰/特克赫·图哈卡/威廉·丘布/罗南·维博特/蒂姆·唐尼/马修·桑德兰/肯尼斯·克拉德/尼古拉斯·博尔顿/基普·查普曼/埃里克·科尔文/约翰·亨肖/科林·莫伊/蒂姆·皮戈特-史密斯/罗伯特·波特尔/杰·萨瑟兰/贾里德·特纳,剧情/动作/惊悚/历史, 英国 / 新西兰,2017-08-04(新西兰电影节)/2017-09-07(新西兰),94分钟,6.4
猎杀星期一 What Happened to Monday?,托米·维尔科拉,麦克斯·博特金/凯丽·威廉逊,劳米·拉佩斯/格伦·克洛斯/威廉·达福/马尔万·肯扎里/克里斯蒂安·鲁贝克/帕尔·斯维尔·哈根/托米瓦·埃敦/凯西·克莱尔/卡梅伦·杰克/柯尔斯蒂·阿弗顿/维加·霍尔/马达林·德拉甘/斯蒂格·弗洛德·亨里克森/亚历山大·阮/拉腊·德坎罗/玛丽·埃弗雷特/桑地亚哥·卡布瑞拉,科幻/惊悚, 英国 / 美国 / 法国 / 比利时,2017-08-06(洛迦诺电影节)/2017-08-18(英国),123分钟,6.7
裸婚大喜 Naked,迈克尔·泰兹,里克·阿尔瓦雷斯/科里·科勒/马龙·韦恩斯/马丁·纳森/托克尔·纳森,马龙·韦恩斯/雷吉娜·赫尔/丹尼斯·海斯伯特/J·T·杰克逊/斯考特·佛雷/伊丽莎·库伯/布莱恩·麦肯奈特/洛雷塔·迪瓦恩/科里·哈德里克/里克·菲茨/戴夫·谢里登/小尼尔·布朗/妮科娃·斯特普尔顿/大卫·德怀尔/康纳·布罗菲/贾罗德·瓦尔沃/杰森·戴维斯/乔尔·拉什/朱万达斯·坎迪斯,喜剧/爱情/奇幻, 美国,2017-08-11(美国),96分钟,5.5
蝙蝠侠与哈莉·奎恩 Batman and Harley Quinn,刘山姆,布鲁斯·提姆/ 詹姆斯·克莉格,凯文·康瑞/梅丽莎·劳奇/帕姬·布鲁斯特/罗伦·莱斯特/凯文·迈克尔·理查德森/艾瑞克·鲍扎/特雷弗·德瓦/约翰·迪·玛吉欧/罗宾·阿特金·唐斯/罗伯·鲍森/明迪·斯特林/布鲁斯·提姆,喜剧/动作/动画/冒险, 美国,2017-07-21(圣地亚哥首映)/2017-08-15(美国网络),74分钟,6.2
王牌保镖 The Hitman's Bodyguard,帕特里克·休斯,汤姆·奥康纳,瑞恩·雷诺兹/塞缪尔·杰克逊/加里·奥德曼/萨尔玛·海耶克/艾洛蒂·袁/乔昆姆·德·阿尔梅达/克里斯蒂·米切尔/约瑟芬·德·拉·波美/山姆·哈兹尔丁/巴里·阿茨玛/艾比·侯斯/米哈伊尔·戈尔沃伊,喜剧/动作/犯罪, 美国 / 香港 / 保加利亚 / 荷兰,2017-09-22(中国大陆)/2017-08-18(美国),118分钟,7.1
星河战队：火星叛国者 Starship Troopers: Traitor of Mars,荒牧伸志/松本松子,爱德华·诺麦尔,卡斯帕·凡·迪恩/迪娜·迈耶/德雷·戴维斯/露西·克里斯蒂安,动作/科幻/动画, 美国,2017-08-21(美国),100分钟,5.8
死亡笔记 Death Note,亚当·温加德,查理·帕拉伯尼得斯/维拉斯·帕拉伯尼得斯/杰瑞米·斯莱特/大场鸫/小畑健,纳特·沃尔夫/勒凯斯·斯坦菲尔德/玛格丽特·库里/谢伊·惠格姆/威廉·达福/杰森·莱尔斯/保罗·纳高奇/杰克·埃特林格/马修·凯文·安德森/克里斯·布里顿/科维西·阿梅扬/贾斯汀·斯通/克里斯蒂安·斯隆/阿汀·约翰/大卫·S·郑/杰西卡·麦丽奥德/保罗·麦克吉莱恩,剧情/悬疑/惊悚/犯罪/奇幻, 美国,2017-08-25(美国网络),101分钟,4.0
闹鬼校园 ホーンテッド・キャンパス,竹本聡志,栉木理宇/徳尾浩司,中山优马/岛崎遥香/大野拓朗/高桥玛莉润/安井谦太郎/大和田伸也,惊悚/恐怖, 日本,2016-07-02(日本),93分钟,5.1
索命APP Recovery,Darrell Wheat,,蕾切尔·迪皮罗/可比·毕丝·布兰顿/塞缪尔·拉森/雅姆·朗德里·埃贝尔/亚历克斯·沙弗尔/Kristen Hagen/Karri Davis,惊悚/恐怖, 美国,2016-10-28(美国),82分钟,4.3
特殊嫌疑犯,余庆,余庆,孙雪岩/万希/麻郡宜/周广真/周雪珍,剧情/悬疑/犯罪, 中国大陆,2016-10-16(中国大陆),71分钟,6.2
忽然七日 Before I Fall,莱·拉索-扬,玛丽娅·玛根蒂/劳伦·奥利弗,佐伊·达奇/豪斯顿·塞奇/洛根·米勒/凯恩·罗利/埃莱娜·康博里斯/吴辛惠/米达宁·拉希米/埃丽卡·特伦布莱/丽芙·休森/尼古拉斯·李/切尔西·蔻儿·吉尔/罗恩·柯蒂斯/克莱尔·玛格丽特·克里特/凯拉·孔多/阿丽尔·图里奥,剧情/悬疑, 美国,2017-01-21(圣丹斯电影节)/2017-03-03(美国),99分钟,6.4
秘密 秘密 THE TOP SECRET,大友启史,清水玲子/高桥泉/大友启史,生田斗真/冈田将生/吉川晃司/松坂桃李/栗山千明/织田梨沙/椎名桔平/大森南朋/中川雅也/平山祐介/木南晴夏/大仓孝二,科幻/悬疑/惊悚, 日本,2016-08-06(日本),149分钟,5.3
莫斯科陷落 Притяжение,费奥多尔·邦达尔丘克,奥列格·马洛维奇克/安德烈·佐洛塔廖夫,伊琳娜·斯达森保姆/亚历山大·佩特罗夫/林奈·穆罕默托夫/欧列格·缅希科夫/谢尔盖·加尔马什/尼基塔·库库什金/柳德米拉·马克萨科娃/尼基塔·塔拉索夫,剧情/爱情/科幻, 俄罗斯,2017-01-26(俄罗斯),130分钟,5.0
堕落天使 Fallen,斯科特·希克斯,Lauren Kate/尼蔻·米勒德/凯瑟琳·皮尔斯,罗拉·科克/艾狄森·蒂姆林/乔莉·理查德森/杰瑞米·艾文/马拉基·卡比/赫敏·科菲尔德/朱丽叶特·奥布瑞/肖奥纳·斯米特-麦克费/黛茜·海德/哈里森·吉尔伯特森,爱情/奇幻, 美国 / 匈牙利,2017-05(中国大陆)/2016-12-02(台湾)/2016-12-29(香港),91分钟,3.9
美女与野兽 Beauty and the Beast,比尔·康顿,斯蒂芬·切波斯基/埃文·斯彼里奥托普洛斯/琳达·伍尔芙顿/珍妮-玛丽·勒普兰斯·德博蒙,艾玛·沃森/丹·史蒂文斯/卢克·伊万斯/凯文·克莱恩/乔什·加德/伊万·麦克格雷格/伊恩·麦克莱恩/艾玛·汤普森/斯坦利·图齐/古古·姆巴塔-劳/奥德拉·麦克唐纳/内森·麦克/哈蒂·莫拉汉/迈克尔·吉普森/水野索诺娅/亨利·加勒特/戴尔·布兰斯顿,爱情/歌舞/奇幻, 美国,2017-03-17(中国大陆/美国),129分钟,7.2
健忘村,陈玉勋,陈玉勋/张耀升,舒淇/王千源/张孝全/曾志伟/杨祐宁/张少怀/许杰辉/林美秀/顾宝明/陈竹昇/柯宇纶/黄健玮,剧情/喜剧/奇幻/古装, 中国大陆 / 台湾,2017-01-28(中国大陆),116分钟,6.7
爸爸是女儿 아빠는 딸,金惠荣,崔允美/金娜里/乔晟佑/金吉森,尹宰文/郑素敏/申久/李日花/李美度/沈亨倬/姜其永/许嘉允/敏度希/朴明秀,剧情/喜剧/奇幻, 韩国,2017-04-12(韩国),115分钟,6.7
斯特拉顿 Stratton,西蒙·韦斯特,邓肯·福尔科纳/沃伦·戴维斯,康妮·尼尔森/汤姆·费尔顿/多米尼克·库珀/嘉玛·陈/泰勒·霍奇林/德里克·雅各比/奥斯汀·斯托维尔/托马斯·克莱舒曼/艾格尔·纳尔/李·尼古拉斯·哈里斯/奥莱加·费多罗/杰克·费尔布罗勒/尼科·托福利/穆罕默德·阿里/理查德·班克斯,动作/惊悚, 英国,2017-04-01(法国)/2017-09-01(英国),94分钟,5.4
反恐特警组：潜龙突围 S.W.A.T.: Under Siege,托尼·基格里奥,Jonas Barnes/Keith Domingue,山姆·贾格/阿德琳妮·帕里奇/迈克尔·加·怀特/帕斯卡尔·休顿/泰·奥尔森/莫妮卡·甘德顿/凯拉·扎戈尔斯基/郑启蕙/马修·马斯登/麦克·多普德/玛茜·T·豪斯/扎夫·帕鲁,动作, 美国,2017-08-01(美国),89分钟,4.6
父亲与伊藤先生 お父さんと伊藤さん,棚田由纪,黑泽久子/中泽日菜子,上野树里/中川雅也/藤龙也/长谷川朝晴/安藤圣/渡边绘里,剧情/喜剧, 日本,2016-10-08(日本),119分钟,7.7
本能寺酒店 本能寺ホテル,铃木雅之,相泽友子,绫濑遥/堤真一/滨田岳/平山浩行/田口浩正/高岛政宏/近藤正臣/风间杜夫/八岛智人/平岩纸/宇梶刚士/飯尾和樹/加藤谅,喜剧, 日本,2017-01-14(日本),119分钟,6.2
无限商社2016：危机的公司职员 2016무한상사위기의회사원,张恒俊,金恩熙,刘在锡/郑俊河/河东勋/朴明秀/黄光熙/权志龙/国村隼/郑亨敦/李帝勋/金惠秀,剧情, 韩国,2016-09-15(韩国),87分钟,7.2
单身骑士 싱글라이더,李祖英,李祖英,李秉宪/孔晓振/安昭熙/本尼迪克·哈迪/杰克·坎贝尔/凯茨·托马斯,剧情, 韩国,2017-02-22(韩国),97分钟,6.8
沙堡 Sand Castle,费尔南多·科英布拉,克里斯·罗斯纳,亨利·卡维尔/汤米·弗拉纳根/尼古拉斯·霍尔特/罗根·马歇尔-格林/格伦·鲍威尔/博·纳普/小尼尔·布朗/萨姆·斯普卢尔 /纳维德·内加班/帕克·索耶/冈萨洛·门内德斯/萨米·谢伊克/纳比勒·埃卢比/齐亚德·阿巴扎/索佩·迪瑞苏/尼古拉斯·雅各布/奥赛·伊克希尔,剧情/战争, 美国,2017-04-21(美国),113分钟,6.5
梅根·利维 Megan Leavey,加芙列拉·考珀斯维特,帕梅拉·格雷/安妮·玛莫罗/蒂姆·洛夫斯特特,凯特·玛拉/汤姆·费尔顿/布莱德利·惠特福德/杰拉丁妮·詹姆斯/科曼/埃迪·法可/威尔·帕顿/拉蒙·罗德里格兹/珊农·塔伯特/米格尔·戈麦斯/乔纳森·霍华德/乔治·韦伯斯特/克里·约翰逊/山姆·基利/凯萨琳·戴尔/迈尔斯·穆森登/玛丽娜·马修斯/帕克·索耶,剧情/传记/战争, 美国,2017-05-07(蒙特克莱电影节)/2017-06-09(美国),116分钟,7.1
生死之墙 The Wall,道格·里曼,德温·沃勒尔,亚伦·泰勒-约翰逊/约翰·塞纳/莱斯·纳克里,剧情/惊悚/战争, 美国,2017-05-12(美国),90分钟,6.9
雪花 눈발,赵杰民,赵杰民,朴珍荣/智友/辛安金/郑娜恩/姜明盖,剧情, 韩国,2017-03-01(韩国),91分钟,6.6
解冻 해빙,李受妍,李受妍,赵震雄/金大明/申久/宋永彰/李清娥,惊悚/犯罪, 韩国,2017-03-01(韩国),117分钟,6.4
非正式特工 비정규직 특수요원,金德洙,金德洙,姜艺媛/韩彩雅/南宫珉/赵在允,喜剧/动作, 韩国,2017-03-16(韩国),117分钟,5.2
普通人 보통사람,金凤汉,萨木艾,孙贤周/张赫/罗美兰/赵达焕/金相浩/孙秉浩/吴妍儿/周锡泰/朴智一/池胜铉,剧情/动作/犯罪, 韩国,2017-03-23(韩国),121分钟,6.5
叛狱无间 프리즌,罗贤,罗贤,韩石圭/金来沅/金成钧/姜信日/赵在允/申成禄,动作/犯罪, 韩国,2017-03-23(韩国),125分钟,6.5
一条龙 원라인,杨景模,杨景模,任时完/朴有焕/晋久/朴秉恩/李东辉/王智媛/金善映,剧情/犯罪, 韩国,2017-03-29(韩国),131分钟,6.6
